Pavadinimas,Plotas,Kaina
Apartamentai Bulgarijoje prie jūros,50m²,80 000 €
"Apartamentai prie jūros Gruzija, Batumys",Plotas nerastas,40 700 €
"FLORIDA, JAV - Nekilnojamas turtas",Plotas nerastas,270 000 €
Apartamentai ant jūros kranto,50m²,70 €
Namas slidinėjimo kurorte Norvegijoje,155m²,1 060 000 €
Apartamentai kalnuose Norvegijoje,112m²,1 440 000 €
Butas Ispanijoje Torrevieja kurorte,84m²,165 000 €
Butas Sardinijoje (IT) su vaizdu į jūrą,90m²,226 600 €
Butas Kalabrijoje su vaizdu į jūrą,70m²,70 000 €
Modernus butas su baldais Ispanijoje,64m²,194 900 €
NT Šiaurės Kipre prie jūros,30m²,56 470 €
Namas šalia jūros,110m²,258 000 €
SARDINIJA (IT) Nekilnojamas turtas,92m²,470 000 €
Naujas investicinis butas Kosta Blankoje,67m²,199 000 €
Turtas prie Baltijos jūros,2900m²,200 000 €
Parduodamas jaukus butas su 2 miegamaisi,70m²,120 000 €
Žemės sklypas kopose,195a,295 000 €
Butas prie juros Liepojoje,31m²,42 000 €
Horizon Deluxe,29m²,48 000 €
Nauji apartamentai prie Vidužemio jūros,62m²,149 500 €
Gražus dviejų aukštų namas,2300m²,275 000 €
,42a,149 999 €
"Butas su vaizdu į kalnus, jūrą! Batumis",57m²,72 900 €
,1200m²,900 000 €
Namas prie Baltijos jūros Pape Latvija,90m²,165 000 €
Kapšedės dvaro pastatas su plačiu sklypu,1513m²,220 000 €
DVIEJU KAMBARIU BUTAS LIEPOJOJE,49m²,57 000 €
Parduodamas Sklypas Prie jūros 25 km nuo,51a,57 000 €
,399m²,450 000 €
2 kambarių butas Liepojoje,50m²,40 000 €
Kraštinis kotedžas Gran Alacantėje,115m²,155 000 €
PARDUODAMAS SKLYPAS PAPĖJE LATVIJOJE,55a,55 000 €
"15,45 namų valda 110 m nuo jūros, Pape",15a,86 000 €
Trijų aukštų vila,75m²,90 000 €
Namų valdos sklypas su statybos leidimu,39a,94 900 €
Villa Kalnuose Šiaurės Kipre!,199m²,465 000 €
Atsibodo išpūstos NT kainos Lietuvoje?,20m²,22 000 €
Sklypas su pamatais ant jūros kranto,100a,330 000 €
Property on the Baltic Sea coast,540a,4 000 000 €
BAGRATIONI RESIDENCE,Plotas nerastas,39 390 €
Etnografinė sodyba „Jūrmalnieki“,Plotas nerastas,550 000 €
